,username,comment,clean_data,case_folding,tokenize,stopwords,normalization,stemming
2107,veronanngrh,"sudah banyak thrift shop, sisa kita saja pak atur pajak penghasilannya.",sudah banyak thrift shop  sisa kita saja pak atur pajak penghasilannya,sudah banyak thrift shop  sisa kita saja pak atur pajak penghasilannya,"['sudah', 'banyak', 'thrift', 'shop', 'sisa', 'kita', 'saja', 'pak', 'atur', 'pajak', 'penghasilannya']",thrift shop sisa atur pajak penghasilannya,thrift shop sisa atur pajak penghasilannya,thrift shop sisa atur pajak hasil
2108,mhdr4flyy,iya? ooo,iya  oo,iya  oo,"['iya', 'oo']",iya oo,iya oo,iya oo
2109,oline_016,Tukang ngowol nyimak,Tukang ngowol nyimak,tukang ngowol nyimak,"['tukang', 'ngowol', 'nyimak']",tukang ngowol nyimak,tukang ngowol nyimak,tukang ngowol nyimak
2110,dabelchizzbergerr,@itsmvvn ayo ngethrift,ayo ngethrift,ayo ngethrift,"['ayo', 'ngethrift']",ayo ngethrift,ayo ngethrift,ayo ngethrift
2112,feebbb16,Bagikan kaos partai 🔥,Bagikan kaos partai,bagikan kaos partai,"['bagikan', 'kaos', 'partai']",bagikan kaos partai,bagikan kaos partai,bagi kaos partai
2113,elangakbarr,solusinya apa,solusinya apa,solusinya apa,"['solusinya', 'apa']",solusinya,solusinya,solusi
2114,___.dropbyriezka.___,Biasa di gw kaos partai klo ga di jadiin lap ya buat outfit para petani ke kebun,Biasa di gw kaos partai klo ga di jadiin lap ya buat outfit para petani ke kebun,biasa di gw kaos partai klo ga di jadiin lap ya buat outfit para petani ke kebun,"['biasa', 'di', 'gw', 'kaos', 'partai', 'klo', 'ga', 'di', 'jadiin', 'lap', 'ya', 'buat', 'outfit', 'para', 'petani', 'ke', 'kebun']",gw kaos partai jadiin lap outfit petani kebun,saya kaos partai jadiin lap outfit petani kebun,saya kaos partai jadiin lap outfit tani kebun
2115,alfathharyaa,hadeh,hadeh,hadeh,['hadeh'],hadeh,hadeh,hadeh
2116,melani.griffithh,Bukan gasuka produk lokal tapi gamau aja nanti di ujung jalan bejejer orang2 yang pake baju samaan semua 😂,Bukan gasuka produk lokal tapi gamau aja nanti di ujung jalan bejejer orang yang pake baju samaan semua,bukan gasuka produk lokal tapi gamau aja nanti di ujung jalan bejejer orang yang pake baju samaan semua,"['bukan', 'gasuka', 'produk', 'lokal', 'tapi', 'gamau', 'aja', 'nanti', 'di', 'ujung', 'jalan', 'bejejer', 'orang', 'yang', 'pake', 'baju', 'samaan', 'semua']",gasuka produk lokal gamau ujung jalan bejejer orang pake baju samaan,tidak suka produk lokal tidak mau ujung jalan bejejer orang pakai baju samaan,tidak suka produk lokal tidak mau ujung jalan bejejer orang pakai baju sama
2117,farahrzkii,bacot la virus virus modal daia sm proclin juge plankton terhempaskan,bacot la virus virus modal daia sm proclin juge plankton terhempaskan,bacot la virus virus modal daia sm proclin juge plankton terhempaskan,"['bacot', 'la', 'virus', 'virus', 'modal', 'daia', 'sm', 'proclin', 'juge', 'plankton', 'terhempaskan']",bacot la virus virus modal daia sm proclin juge plankton terhempaskan,bacot la virus virus modal daia sama proclin juge plankton terhempaskan,bacot la virus virus modal daia sama proclin juge plankton hempas
2118,_adamoctaa,Artinya apa bang messi,Artinya apa bang messi,artinya apa bang messi,"['artinya', 'apa', 'bang', 'messi']",bang messi,bang messi,bang messi
2119,tessatissu,Dari jaman nyokap muda juga udh ada pak,Dari jaman nyokap muda juga udh ada pak,dari jaman nyokap muda juga udh ada pak,"['dari', 'jaman', 'nyokap', 'muda', 'juga', 'udh', 'ada', 'pak']",jaman nyokap muda udh,jaman ibu muda sudah,jaman ibu muda sudah
2120,ciadreason,emang bener,emang bener,emang bener,"['emang', 'bener']",emang bener,emang bener,emang bener
2121,pemain_handalll,Yang sangat mengganggu itu kereta cepat yang belom selesai sampai sekarang !,Yang sangat mengganggu itu kereta cepat yang belom selesai sampai sekarang,yang sangat mengganggu itu kereta cepat yang belom selesai sampai sekarang,"['yang', 'sangat', 'mengganggu', 'itu', 'kereta', 'cepat', 'yang', 'belom', 'selesai', 'sampai', 'sekarang']",mengganggu kereta cepat belom selesai,mengganggu kereta cepat belom selesai,ganggu kereta cepat bom selesai
2122,hmwnprd_,"Aku tak akan mau dewasa, bila dewasa sepertimu aku tak mau.",Aku tak akan mau dewasa  bila dewasa sepertimu aku tak mau,aku tak akan mau dewasa  bila dewasa sepertimu aku tak mau,"['aku', 'tak', 'akan', 'mau', 'dewasa', 'bila', 'dewasa', 'sepertimu', 'aku', 'tak', 'mau']",dewasa dewasa sepertimu,dewasa dewasa sepertimu,dewasa dewasa seperti
2123,saint.benedictus,End of 😢,End of,end of,"['end', 'of']",end of,end of,end of
2124,galih.sakti_,@ajie_gozsa impor opo ae Jane mengganggu bisnis dalam negeri,impor opo ae Jane mengganggu bisnis dalam negeri,impor opo ae jane mengganggu bisnis dalam negeri,"['impor', 'opo', 'ae', 'jane', 'mengganggu', 'bisnis', 'dalam', 'negeri']",impor opo ae jane mengganggu bisnis negeri,impor apa ae jane mengganggu bisnis negeri,impor apa ae jane ganggu bisnis negeri
2125,ditactors,Tapi consumen barang thrifting juga membantu mengurangi limbah industri tekstil. Semacam reuse dan recycle gitu gak sih..,Tapi consumen barang thrifting juga membantu mengurangi limbah industri tekstil  Semacam reuse dan recycle gitu gak sih,tapi consumen barang thrifting juga membantu mengurangi limbah industri tekstil  semacam reuse dan recycle gitu gak sih,"['tapi', 'consumen', 'barang', 'thrifting', 'juga', 'membantu', 'mengurangi', 'limbah', 'industri', 'tekstil', 'semacam', 'reuse', 'dan', 'recycle', 'gitu', 'gak', 'sih']",consumen barang thrifting membantu mengurangi limbah industri tekstil reuse recycle gitu,consumen barang thrifting membantu mengurangi limbah industri tekstil reuse recycle begitu,consumen barang thrifting bantu kurang limbah industri tekstil reuse recycle begitu
2126,anggisetyawann,"Bilangnya harus lokal, tp kualitas bagus dikit harganya selangit. 🔥🔥",Bilangnya harus lokal  tp kualitas bagus dikit harganya selangit,bilangnya harus lokal  tp kualitas bagus dikit harganya selangit,"['bilangnya', 'harus', 'lokal', 'tp', 'kualitas', 'bagus', 'dikit', 'harganya', 'selangit']",bilangnya lokal tp kualitas bagus dikit harganya selangit,bilangnya lokal tetapi kualitas bagus sedikit harganya selangit,bilang lokal tetapi kualitas bagus sedikit harga langit
2127,woibj_,"Pakaian bekas ga menggangu pak, yg mnggnggu tuh koruptor !!!",Pakaian bekas ga menggangu pak  yg mnggnggu tuh koruptor,pakaian bekas ga menggangu pak  yg mnggnggu tuh koruptor,"['pakaian', 'bekas', 'ga', 'menggangu', 'pak', 'yg', 'mnggnggu', 'tuh', 'koruptor']",pakaian bekas menggangu mnggnggu koruptor,pakaian bekas menggangu mnggnggu koruptor,pakai bekas menggangu mnggnggu koruptor
2128,angga.subi,"@angga.subi also kok cuma impor pakaian bekas yang dihentikan, kok bukan yang ....... (sebagian teks hilang)",subi also kok cuma impor pakaian bekas yang dihentikan  kok bukan yang  sebagian teks hilang,subi also kok cuma impor pakaian bekas yang dihentikan  kok bukan yang  sebagian teks hilang,"['subi', 'also', 'kok', 'cuma', 'impor', 'pakaian', 'bekas', 'yang', 'dihentikan', 'kok', 'bukan', 'yang', 'sebagian', 'teks', 'hilang']",subi also impor pakaian bekas dihentikan teks hilang,subi juga impor pakaian bekas dihentikan teks hilang,sub juga impor pakai bekas henti teks hilang
2129,yansah_zx,Artinya apa bang messi,Artinya apa bang messi,artinya apa bang messi,"['artinya', 'apa', 'bang', 'messi']",bang messi,bang messi,bang messi
2130,junkistruee,Ngomong ape si wkwksksk,Ngomong ape si wkwksksk,ngomong ape si wkwksksk,"['ngomong', 'ape', 'si', 'wkwksksk']",ngomong ape wkwksksk,ngomong ape wkwksksk,ngomong ape wkwksksk
2131,bakaljajan,Yang mengganggu saya adalah temen temen saya mendadak branded pak,Yang mengganggu saya adalah temen temen saya mendadak branded pak,yang mengganggu saya adalah temen temen saya mendadak branded pak,"['yang', 'mengganggu', 'saya', 'adalah', 'temen', 'temen', 'saya', 'mendadak', 'branded', 'pak']",mengganggu temen temen mendadak branded,mengganggu temen temen mendadak branded,ganggu temen temen dadak branded
2132,wcksono23,"Kalo bisa dicari jalan keluarnya bersama pak jangan cuma main asal tutup aja, mereka dagang thrift gitu ga baru sehari duahari tapi udah lama dan nyata nya baru kali ini aja disenggol.",Kalo bisa dicari jalan keluarnya bersama pak jangan cuma main asal tutup aja  mereka dagang thrift gitu ga baru sehari duahari tapi udah lama dan nyata nya baru kali ini aja disenggol,kalo bisa dicari jalan keluarnya bersama pak jangan cuma main asal tutup aja  mereka dagang thrift gitu ga baru sehari duahari tapi udah lama dan nyata nya baru kali ini aja disenggol,"['kalo', 'bisa', 'dicari', 'jalan', 'keluarnya', 'bersama', 'pak', 'jangan', 'cuma', 'main', 'asal', 'tutup', 'aja', 'mereka', 'dagang', 'thrift', 'gitu', 'ga', 'baru', 'sehari', 'duahari', 'tapi', 'udah', 'lama', 'dan', 'nyata', 'nya', 'baru', 'kali', 'ini', 'aja', 'disenggol']",dicari jalan keluarnya main tutup dagang thrift gitu sehari duahari udah nyata kali disenggol,dicari jalan keluarnya main tutup dagang thrift begitu sehari duahari sudah nyata kali disenggol,cari jalan keluar main tutup dagang thrift begitu hari duahari sudah nyata kali senggol
2133,syauqi.mub,Artinya apa bang owi,Artinya apa bang owi,artinya apa bang owi,"['artinya', 'apa', 'bang', 'owi']",bang owi,bang owi,bang owi
2134,desidmynty,but i love thriftt pak🥴,but love thriftt pak,but love thriftt pak,"['but', 'love', 'thriftt', 'pak']",but love thriftt,but love thriftt,but love thriftt
2135,dimass295_,@jaakiiiii._ dunia trift di persulit,_ dunia trift di persulit,_ dunia trift di persulit,"['_', 'dunia', 'trift', 'di', 'persulit']",_ dunia trift persulit,_ dunia trift persulit,dunia trift sulit
2137,rriansyahh_,@rezadiskyy info tipusat langsung,info tipusat langsung,info tipusat langsung,"['info', 'tipusat', 'langsung']",info tipusat langsung,informasi tipusat langsung,informasi tipusat langsung
2138,adam_ardiansyah1990,Yang penting mah murah udah itu aja.,Yang penting mah murah udah itu aja,yang penting mah murah udah itu aja,"['yang', 'penting', 'mah', 'murah', 'udah', 'itu', 'aja']",mah murah udah,mah murah sudah,mah murah sudah
2139,ramawwida,"@galangbramana sepertinya tidak barang bekas saja, contoh pulau batu yg tidak ada official store di indo tp kok banyak bnwt yg bertebaran 🫣",sepertinya tidak barang bekas saja  contoh pulau batu yg tidak ada official store di indo tp kok banyak bnwt yg bertebaran,sepertinya tidak barang bekas saja  contoh pulau batu yg tidak ada official store di indo tp kok banyak bnwt yg bertebaran,"['sepertinya', 'tidak', 'barang', 'bekas', 'saja', 'contoh', 'pulau', 'batu', 'yg', 'tidak', 'ada', 'official', 'store', 'di', 'indo', 'tp', 'kok', 'banyak', 'bnwt', 'yg', 'bertebaran']",barang bekas contoh pulau batu official store indo tp bnwt bertebaran,barang bekas contoh pulau batu official store indonesia tetapi bnwt bertebaran,barang bekas contoh pulau batu official store indonesia tetapi bnwt tebar
2140,ajifajriii,cepe tiga,cepe tiga,cepe tiga,"['cepe', 'tiga']",cepe,cepe,cepe
2141,palkavnd,mau beli brand lokal tapi harga nya kaya inter :(,mau beli brand lokal tapi harga nya kaya inter,mau beli brand lokal tapi harga nya kaya inter,"['mau', 'beli', 'brand', 'lokal', 'tapi', 'harga', 'nya', 'kaya', 'inter']",beli brand lokal harga kaya inter,beli brand lokal harga kaya inter,beli brand lokal harga kaya inter
2142,veronanngrh,@nabafiishafar iya bang retailer makin banyak yg buka,iya bang retailer makin banyak yg buka,iya bang retailer makin banyak yg buka,"['iya', 'bang', 'retailer', 'makin', 'banyak', 'yg', 'buka']",iya bang retailer buka,iya bang retailer buka,iya bang retailer buka
2143,_imyour__hi,"Itu kan pilihan mereka yg badan kecil sama ekonomi biasa mending beli itu pak, udh lah gak usah urusin rakyat kecil koruptot aja babat abis",Itu kan pilihan mereka yg badan kecil sama ekonomi biasa mending beli itu pak  udh lah gak usah urusin rakyat kecil koruptot aja babat abis,itu kan pilihan mereka yg badan kecil sama ekonomi biasa mending beli itu pak  udh lah gak usah urusin rakyat kecil koruptot aja babat abis,"['itu', 'kan', 'pilihan', 'mereka', 'yg', 'badan', 'kecil', 'sama', 'ekonomi', 'biasa', 'mending', 'beli', 'itu', 'pak', 'udh', 'lah', 'gak', 'usah', 'urusin', 'rakyat', 'kecil', 'koruptot', 'aja', 'babat', 'abis']",pilihan badan ekonomi mending beli udh urusin rakyat koruptot babat abis,pilihan badan ekonomi mending beli sudah urusin rakyat koruptot babat habis,pilih badan ekonomi mending beli sudah urusin rakyat koruptot babat habis
2145,angga.subi,okay it's good when it's last,okay it  good when it  last,okay it  good when it  last,"['okay', 'it', 'good', 'when', 'it', 'last']",okay it good when it last,okay it good kapan it last,okay it good kapan it last
2146,rosid.mn,@iarx.are mbak @ahmad18faiz kemaren beli duaa🙌,are mbak kemaren beli duaa,are mbak kemaren beli duaa,"['are', 'mbak', 'kemaren', 'beli', 'duaa']",are mbak kemaren beli duaa,are mbak kemaren beli duaa,are mbak kemaren beli duaa
2147,disannugraha,Hahaha rongsok rongsok,Hahaha rongsok rongsok,hahaha rongsok rongsok,"['hahaha', 'rongsok', 'rongsok']",hahaha rongsok rongsok,hahaha rongsok rongsok,hahaha rongsok rongsok
2148,reiagra,Jadikan saya tombol dislike,Jadikan saya tombol dislike,jadikan saya tombol dislike,"['jadikan', 'saya', 'tombol', 'dislike']",jadikan tombol dislike,jadikan tombol dislike,jadi tombol dislike
2149,mitramustakim,"Ya gimana ngga rame, wong panutan influencernya kebanyakan ngiklanin brand luar. Menkraf & menko seharusnya lbh bisa menggenjot minat konsumeris lokal lewat campaign influencer. Masa bayar buzzerRp bisa, bayar influence brand lokal ga bisa. Terbalik-balik si kadang",Ya gimana ngga rame  wong panutan influencernya kebanyakan ngiklanin brand luar  Menkraf  menko seharusnya lbh bisa menggenjot minat konsumeris lokal lewat campaign influencer  Masa bayar buzzerRp bisa  bayar influence brand lokal ga bisa  Terbalik balik si kadang,ya gimana ngga rame  wong panutan influencernya kebanyakan ngiklanin brand luar  menkraf  menko seharusnya lbh bisa menggenjot minat konsumeris lokal lewat campaign influencer  masa bayar buzzerrp bisa  bayar influence brand lokal ga bisa  terbalik balik si kadang,"['ya', 'gimana', 'ngga', 'rame', 'wong', 'panutan', 'influencernya', 'kebanyakan', 'ngiklanin', 'brand', 'luar', 'menkraf', 'menko', 'seharusnya', 'lbh', 'bisa', 'menggenjot', 'minat', 'konsumeris', 'lokal', 'lewat', 'campaign', 'influencer', 'masa', 'bayar', 'buzzerrp', 'bisa', 'bayar', 'influence', 'brand', 'lokal', 'ga', 'bisa', 'terbalik', 'balik', 'si', 'kadang']",gimana ngga rame panutan influencernya kebanyakan ngiklanin brand menkraf menko lbh menggenjot minat konsumeris lokal campaign influencer bayar buzzerrp bayar influence brand lokal terbalik kadang,bagaimana tidak ramai panutan influencernya kebanyakan ngiklanin brand menkraf menko lebih menggenjot minat konsumeris lokal campaign influencer bayar buzzerrp bayar influence brand lokal terbalik kadang,bagaimana tidak ramai panutan influencernya banyak ngiklanin brand menkraf menko lebih genjot minat konsumer lokal campaign influencer bayar buzzerrp bayar influence brand lokal balik kadang
2150,liwaasdelfiera,Impor bahan pokok juga pak,Impor bahan pokok juga pak,impor bahan pokok juga pak,"['impor', 'bahan', 'pokok', 'juga', 'pak']",impor bahan pokok,impor bahan pokok,impor bahan pokok
2151,ibnslby,@sugenggsecrt haha apasi😭,haha apasi,haha apasi,"['haha', 'apasi']",haha apasi,haha apasi,haha apas
2152,rachmanfahlefi,"Setujuuu pak, tanah abang jadi kalah saing sama threfting, masa baju baru di tawar nya 15 skrng di tanah abang🥲",Setujuu pak  tanah abang jadi kalah saing sama threfting  masa baju baru di tawar nya skrng di tanah abang,setujuu pak  tanah abang jadi kalah saing sama threfting  masa baju baru di tawar nya skrng di tanah abang,"['setujuu', 'pak', 'tanah', 'abang', 'jadi', 'kalah', 'saing', 'sama', 'threfting', 'masa', 'baju', 'baru', 'di', 'tawar', 'nya', 'skrng', 'di', 'tanah', 'abang']",setujuu tanah abang kalah saing threfting baju tawar skrng tanah abang,setujuu tanah abang kalah saing threfting baju tawar sekarang tanah abang,setujuu tanah abang kalah saing threfting baju tawar sekarang tanah abang
